time	soil_moist(1)	soil_moist(2)	soil_moist(3)	soil_rechr(1)	soil_rechr(2)	soil_rechr(3)	SWE(1)	SWE(2)	SWE(3)
27049.41667	229.694	219.496	219.278	49.6944	39.4956	39.2782	76.8076	103.159	126.962
27049.45833	229.694	219.496	219.278	49.6944	39.4956	39.2782	77.0606	103.412	127.215
27049.5	229.694	219.496	219.278	49.6944	39.4956	39.2782	77.2847	103.636	127.439
27049.54167	229.694	219.496	219.278	49.6944	39.4956	39.2782	77.4943	103.845	127.649
27049.58333	229.694	219.496	219.278	49.6944	39.4956	39.2782	77.7135	104.065	127.868
27049.625	229.694	219.496	219.278	49.6944	39.4956	39.2782	77.9546	104.306	128.109
27049.66667	229.694	219.496	219.278	49.6944	39.4956	39.2782	78.2076	104.559	128.362
27049.70833	229.694	219.496	219.278	49.6944	39.4956	39.2782	78.4531	104.804	128.608
27049.75	229.694	219.496	219.278	49.6944	39.4956	39.2782	78.6819	105.033	128.837
27049.79167	229.694	219.496	219.278	49.6944	39.4956	39.2782	78.9349	105.286	129.09
27049.83333	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.1879	105.539	129.343
27049.875	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.4409	105.792	129.596
27049.91667	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.6939	106.045	129.849
27049.95833	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.9469	106.298	130.102
27050	229.694	219.496	219.278	49.6944	39.4956	39.2782	80.1999	106.551	130.355
27050.04167	229.694	219.496	219.278	49.6944	39.4956	39.2782	80.2166	106.568	130.371
27050.08333	229.694	219.496	219.278	49.6944	39.4956	39.2782	80.2334	106.585	130.388
27050.125	229.694	219.496	219.278	49.6944	39.4956	39.2782	80.2454	106.597	130.4
27050.16667	229.694	219.496	219.278	49.6944	39.4956	39.2782	80.2136	106.565	130.368
27050.20833	229.694	219.496	219.278	49.6944	39.4956	39.2782	80.1798	106.531	130.335
27050.25	229.694	219.496	219.278	49.6944	39.4956	39.2782	80.1966	106.548	130.351
27050.29167	229.694	219.496	219.278	49.6944	39.4956	39.2782	80.1443	106.495	130.299
27050.33333	229.694	219.496	219.278	49.6944	39.4956	39.2782	80.1551	106.506	130.31
27050.375	229.694	219.496	219.278	49.6944	39.4956	39.2782	80.1656	106.517	130.32
27050.41667	229.694	219.496	219.278	49.6944	39.4956	39.2782	80.1824	106.534	130.337
27050.45833	229.694	219.496	219.278	49.6944	39.4956	39.2782	80.1992	106.55	130.354
27050.5	229.694	219.496	219.278	49.6944	39.4956	39.2782	80.216	106.567	130.371
27050.54167	229.694	219.496	219.278	49.6944	39.4956	39.2782	80.2328	106.584	130.388
27050.58333	229.694	219.496	219.278	49.6944	39.4956	39.2782	80.2496	106.601	130.404
27050.625	229.694	219.496	219.278	49.6944	39.4956	39.2782	80.24	106.591	130.395
27050.66667	229.694	219.496	219.278	49.6944	39.4956	39.2782	80.2495	106.601	130.404
27050.70833	229.694	219.496	219.278	49.6944	39.4956	39.2782	80.2663	106.617	130.421
27050.75	229.694	219.496	219.278	49.6944	39.4956	39.2782	80.2306	106.582	130.385
27050.79167	229.694	219.496	219.278	49.6944	39.4956	39.2782	80.2223	106.574	130.377
27050.83333	229.694	219.496	219.278	49.6944	39.4956	39.2782	80.2054	106.557	130.36
27050.875	229.694	219.496	219.278	49.6944	39.4956	39.2782	80.1686	106.52	130.323
27050.91667	229.694	219.496	219.278	49.6944	39.4956	39.2782	80.1536	106.505	130.309
27050.95833	229.694	219.496	219.278	49.6944	39.4956	39.2782	80.1393	106.491	130.294
27051	229.694	219.496	219.278	49.6944	39.4956	39.2782	80.1561	106.507	130.311
27051.04167	229.694	219.496	219.278	49.6944	39.4956	39.2782	80.1561	106.507	130.311
27051.08333	229.694	219.496	219.278	49.6944	39.4956	39.2782	80.1561	106.507	130.311
27051.125	229.694	219.496	219.278	49.6944	39.4956	39.2782	80.1408	106.492	130.296
27051.16667	229.694	219.496	219.278	49.6944	39.4956	39.2782	80.1408	106.492	130.296
27051.20833	229.694	219.496	219.278	49.6944	39.4956	39.2782	80.1408	106.492	130.296
27051.25	229.694	219.496	219.278	49.6944	39.4956	39.2782	80.1408	106.492	130.296
27051.29167	229.694	219.496	219.278	49.6944	39.4956	39.2782	80.1234	106.475	130.278
27051.33333	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.6866	106.038	129.842
27051.375	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.6048	105.956	129.76
27051.41667	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.5797	105.931	129.735
27051.45833	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.5797	105.931	129.735
27051.5	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.5797	105.931	129.735
27051.54167	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.5797	105.931	129.735
27051.58333	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.5797	105.931	129.735
27051.625	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.5797	105.931	129.735
27051.66667	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.5797	105.931	129.735
27051.70833	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.5797	105.931	129.735
27051.75	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.5797	105.931	129.735
27051.79167	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.5797	105.931	129.735
27051.83333	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.5797	105.931	129.735
27051.875	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.5797	105.931	129.735
27051.91667	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.5797	105.931	129.735
27051.95833	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.5797	105.931	129.735
27052	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.5797	105.931	129.735
27052.04167	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.5797	105.931	129.735
27052.08333	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.5797	105.931	129.735
27052.125	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.5797	105.931	129.735
27052.16667	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.5797	105.931	129.735
27052.20833	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.5797	105.931	129.735
27052.25	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.5797	105.931	129.735
27052.29167	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.5797	105.931	129.735
27052.33333	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.5713	105.923	129.726
27052.375	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.5713	105.923	129.726
27052.41667	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.5713	105.923	129.726
27052.45833	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.5713	105.923	129.726
27052.5	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.5713	105.923	129.726
27052.54167	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.5713	105.923	129.726
27052.58333	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.5713	105.923	129.726
27052.625	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.5713	105.923	129.726
27052.66667	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.5713	105.923	129.726
27052.70833	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.5713	105.923	129.726
27052.75	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.5713	105.923	129.726
27052.79167	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.5713	105.923	129.726
27052.83333	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.5713	105.923	129.726
27052.875	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.5713	105.923	129.726
27052.91667	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.5713	105.923	129.726
27052.95833	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.5701	105.921	129.725
27053	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.568	105.919	129.723
27053.04167	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.6814	106.033	129.836
27053.08333	229.694	219.496	219.278	49.6944	39.4956	39.2782	79.8234	106.175	129.978
27053.125	229.694	219.496	219.278	49.6944	39.4956	39.2782	80.002	106.353	130.157
27053.16667	229.694	219.496	219.278	49.6944	39.4956	39.2782	80.1834	106.535	130.338
27053.20833	229.694	219.496	219.278	49.6944	39.4956	39.2782	80.418	106.769	130.573
27053.25	229.694	219.496	219.278	49.6944	39.4956	39.2782	80.6527	107.004	130.808
27053.29167	229.694	219.496	219.278	49.6944	39.4956	39.2782	80.8873	107.238	131.042
27053.33333	229.694	219.496	219.278	49.6944	39.4956	39.2782	81.1219	107.473	131.277
27053.375	229.694	219.496	219.278	49.6944	39.4956	39.2782	81.3565	107.708	131.511
27053.41667	229.694	219.496	219.278	49.6944	39.4956	39.2782	81.5911	107.942	131.746
27053.45833	229.694	219.496	219.278	49.6944	39.4956	39.2782	81.8257	108.177	131.981
27053.5	229.694	219.496	219.278	49.6944	39.4956	39.2782	82.0526	108.404	132.207
27053.54167	229.694	219.496	219.278	49.6944	39.4956	39.2782	82.2148	108.566	132.37
27053.58333	229.694	219.496	219.278	49.6944	39.4956	39.2782	82.4367	108.788	132.592
27053.625	229.694	219.496	219.278	49.6944	39.4956	39.2782	82.6713	109.023	132.826
27053.66667	229.694	219.496	219.278	49.6944	39.4956	39.2782	82.906	109.257	133.061
27053.70833	229.694	219.496	219.278	49.6944	39.4956	39.2782	83.1406	109.492	133.295
27053.75	229.694	219.496	219.278	49.6944	39.4956	39.2782	83.3752	109.726	133.53
27053.79167	229.694	219.496	219.278	49.6944	39.4956	39.2782	83.6098	109.961	133.765
27053.83333	229.694	219.496	219.278	49.6944	39.4956	39.2782	83.8444	110.196	133.999
27053.875	229.694	219.496	219.278	49.6944	39.4956	39.2782	84.079	110.43	134.234
27053.91667	229.694	219.496	219.278	49.6944	39.4956	39.2782	84.3136	110.665	134.468
27053.95833	229.694	219.496	219.278	49.6944	39.4956	39.2782	84.5482	110.899	134.703
