time	SWE(1)	SWE(2)	SWE(3)
26955.29167	0	0	0
26955.33333	0	0	0
26955.375	0	0	0
26955.41667	0	0	0
26955.45833	0	0	0
26955.5	0	0	0
26955.54167	0	0	0
26955.58333	0	0	0
26955.625	0	0	0
26955.66667	0	0	0
26955.70833	0	0	0
26955.75	0	0	0
26955.79167	0	0	0
26955.83333	0	0	0
26955.875	0	0	0
26955.91667	0	0	0
26955.95833	0	0	0
26956	0	0	0
26956.04167	0	0	0
26956.08333	0	0	0
26956.125	0	0	0
26956.16667	0	0	0
26956.20833	0	0	0
26956.25	0	0	0
26956.29167	0	0	0
26956.33333	0	0	0
26956.375	0	0	0
26956.41667	0	0	0
26956.45833	0	0	0
26956.5	0	0	0
26956.54167	0	0	0
26956.58333	0	0	0
26956.625	0	0	0
26956.66667	0	0	0
26956.70833	0	0	0
26956.75	0	0	0
26956.79167	0	0	0
26956.83333	0	0	0
26956.875	0	0	0
26956.91667	0	0	0
26956.95833	0	0	0
26957	0	0	0
26957.04167	0	0	0
26957.08333	0	0	0
26957.125	0	0	0
26957.16667	0	0	0
26957.20833	0	0	0
26957.25	0	0	0
26957.29167	0	0	0
26957.33333	0	0	0
26957.375	0	0	0
26957.41667	0	0	0
26957.45833	0	0	0
26957.5	0	0	0
26957.54167	0	0	0
26957.58333	0	0	0
26957.625	0	0	0
26957.66667	0	0	0
26957.70833	0	0	0
26957.75	0	0	0
26957.79167	0	0	0
26957.83333	0	0	0
26957.875	0	0	0
26957.91667	0	0	0
26957.95833	0	0	0
26958	0	0	0
26958.04167	0	0	0
26958.08333	0	0	0
26958.125	0	0	0
26958.16667	0	0	0
26958.20833	0	0	0
26958.25	0	0	0
26958.29167	0	0	0
26958.33333	0	0	0
26958.375	0	0	0
26958.41667	0	0	0
26958.45833	0	0	0
26958.5	0	0	0
26958.54167	0	0	0
26958.58333	0	0	0
26958.625	0	0	0
26958.66667	0	0	0
26958.70833	0	0	0
26958.75	0	0	0
26958.79167	0	0	0
26958.83333	0	0	0
26958.875	0	0	0
26958.91667	0	0	0
26958.95833	0	0	0
26959	0	0	0
26959.04167	0	0	0
26959.08333	0	0	0
26959.125	0	0	0
26959.16667	0	0	0
26959.20833	0	0	0
26959.25	0	0	0
26959.29167	0	0	0
26959.33333	0	0	0
26959.375	0	0	0
26959.41667	0	0	0
26959.45833	0	0	0
26959.5	0	0	0
26959.54167	0	0	0
26959.58333	0	0	0
26959.625	0	0	0
26959.66667	0	0	0
26959.70833	0	0	0
26959.75	0	0	0
26959.79167	0	0	0
26959.83333	0	0	0
26959.875	0	0	0
26959.91667	0	0	0
26959.95833	0	0	0
26960	0	0	0
26960.04167	0	0	0
26960.08333	0	0	0
26960.125	0	0	0
26960.16667	0	0	0
26960.20833	0	0	0
26960.25	0	0	0
26960.29167	0	0	0
26960.33333	0	0	0
26960.375	0	0	0
26960.41667	0	0	0
26960.45833	0	0	0
26960.5	0	0	0
26960.54167	0	0	0
26960.58333	0	0	0
26960.625	0	0	0
26960.66667	0	0	0
26960.70833	0	0	0
26960.75	0	0	0
26960.79167	0	0	0
26960.83333	0	0	0
26960.875	0	0	0
26960.91667	0	0	0
26960.95833	0	0	0
26961	0	0	0
26961.04167	0	0	0
26961.08333	0	0	0
26961.125	0	0	0
26961.16667	0	0	0
26961.20833	0	0	0
26961.25	0	0	0
26961.29167	0	0	0
26961.33333	0	0	0
26961.375	0	0	0
26961.41667	0	0	0
26961.45833	0	0	0
26961.5	0	0	0
26961.54167	0	0	0
26961.58333	0	0	0
26961.625	0	0	0
26961.66667	0	0	0
26961.70833	0	0	0
26961.75	0	0	0
26961.79167	0	0	0
26961.83333	0	0	0
26961.875	0	0	0
26961.91667	0	0	0
26961.95833	0	0	0
26962	0	0	0
26962.04167	0	0	0
26962.08333	0	0	0
26962.125	0	0	0
26962.16667	0	0	0
26962.20833	0	0	0
26962.25	0	0	0
26962.29167	0	0	0
26962.33333	0	0	0
26962.375	0	0	0
26962.41667	0	0	0
26962.45833	0	0	0
26962.5	0	0	0
26962.54167	0	0	0
26962.58333	0	0	0
26962.625	0	0	0
26962.66667	0	0	0
26962.70833	0	0	0
26962.75	0	0	0
26962.79167	0	0	0
26962.83333	0	0	0
26962.875	0	0	0
26962.91667	0	0	0
26962.95833	0	0	0
26963	0	0	0
26963.04167	0	0	0
26963.08333	0	0	0
26963.125	0	0	0
26963.16667	0	0	0
26963.20833	0	0	0
26963.25	0	0	0
26963.29167	0	0	0
26963.33333	0	0	0
26963.375	0	0	0
26963.41667	0	0	0
26963.45833	0	0	0
26963.5	0	0	0
26963.54167	0	0	0
26963.58333	0	0	0
26963.625	0	0	0
26963.66667	0	0	0
26963.70833	0	0	0
26963.75	0	0	0
26963.79167	0	0	0
26963.83333	0	0	0
26963.875	0	0	0
26963.91667	0	0	0
26963.95833	0	0	0
26964	0	0	0
26964.04167	0	0	0
26964.08333	0	0	0
26964.125	0	0	0
26964.16667	0	0	0
26964.20833	0	0	0
26964.25	0	0	0
26964.29167	0	0	0
26964.33333	0	0	0
26964.375	0	0	0
26964.41667	0	0	0
26964.45833	0	0	0
26964.5	0	0	0
26964.54167	0	0	0
26964.58333	0	0	0
26964.625	0	0	0
26964.66667	0	0	0
26964.70833	0	0	0
26964.75	0	0	0
26964.79167	0	0	0
26964.83333	0	0	0
26964.875	0	0	0
26964.91667	0	0	0
26964.95833	0	0	0
26965	0	0	0
26965.04167	0	0	0
26965.08333	0	0	0
26965.125	0	0	0
26965.16667	0	0	0
26965.20833	0	0	0
26965.25	0	0	0
26965.29167	0	0	0
26965.33333	0	0	0
26965.375	0	0	0
26965.41667	0	0	0
26965.45833	0	0	0
26965.5	0	0	0
26965.54167	0	0	0
26965.58333	0	0	0
26965.625	0	0	0
26965.66667	0	0	0
26965.70833	0	0	0
26965.75	0	0	0
26965.79167	0	0	0
26965.83333	0	0	0
26965.875	0	0	0
26965.91667	0	0	0
26965.95833	0	0	0
26966	0	0	0
26966.04167	0	0	0
26966.08333	0	0	0
26966.125	0	0	0
26966.16667	0	0	0
26966.20833	0	0	0
26966.25	0	0	0
26966.29167	0	0	0
26966.33333	0	0	0
26966.375	0	0	0
26966.41667	0	0	0
26966.45833	0	0	0
26966.5	0	0	0
26966.54167	0	0	0
26966.58333	0	0	0
26966.625	0	0	0
26966.66667	0	0	0
26966.70833	0	0	0
26966.75	0	0	0
26966.79167	0	0	0
26966.83333	0	0	0
26966.875	0	0	0
26966.91667	0	0	0
26966.95833	0	0	0
26967	0	0	0
26967.04167	0	0	0
26967.08333	0	0	0
26967.125	0	0	0
26967.16667	0	0	0
26967.20833	0	0	0
26967.25	0	0	0
26967.29167	0	0	0
26967.33333	0	0	0
26967.375	0	0	0
26967.41667	0	0	0
26967.45833	0	0	0
26967.5	0	0	0
26967.54167	0	0	0
26967.58333	0	0	0
26967.625	0	0	0
26967.66667	0	0	0
26967.70833	0	0	0
26967.75	0	0	0
26967.79167	0	0	0
26967.83333	0	0	0
26967.875	0	0	0
26967.91667	0	0	0
26967.95833	0	0	0
26968	0	0	0
26968.04167	0.0288028	0.0288028	0.0288028
26968.08333	0.0576055	0.0576055	0.0576055
26968.125	0.0864083	0.0864083	0.0864083
26968.16667	0.115211	0.115211	0.115211
26968.20833	0.144014	0.144014	0.144014
26968.25	0.144014	0.144014	0.144014
26968.29167	0.144014	0.144014	0.144014
26968.33333	0.172817	0.172817	0.172817
26968.375	0.201619	0.201619	0.201619
26968.41667	0.201619	0.201619	0.201619
26968.45833	0.201619	0.201619	0.201619
26968.5	0.201619	0.201619	0.201619
26968.54167	0.201619	0.201619	0.201619
26968.58333	0.201619	0.201619	0.201619
26968.625	0.201619	0.201619	0.201619
26968.66667	0.201619	0.201619	0.201619
26968.70833	0.201619	0.201619	0.201619
26968.75	0.201619	0.201619	0.201619
26968.79167	0.230422	0.230422	0.230422
26968.83333	0.259225	0.259225	0.259225
26968.875	0.288028	0.288028	0.288028
26968.91667	0.316831	0.316831	0.316831
26968.95833	0.345633	0.345633	0.345633
26969	0.374436	0.374436	0.374436
26969.04167	0.478579	0.478579	0.478579
26969.08333	0.582722	0.582722	0.582722
26969.125	0.686865	0.686865	0.686865
26969.16667	0.791008	0.791008	0.791008
26969.20833	0.895151	0.895151	0.895151
26969.25	0.999294	0.999294	0.999294
26969.29167	1.10344	1.10344	1.10344
