time	SWE(1)	SWE(2)	SWE(3)
units	(mm)	(mm)	(mm)
27126.95833	50.7986	98.9058	329.529
27127	50.7986	98.9058	329.529
27127.04167	50.7986	98.9058	329.529
27127.08333	50.7986	98.9058	329.529
27127.125	50.7986	98.9058	329.529
27127.16667	50.7986	98.9058	329.529
27127.20833	50.7986	98.9058	329.529
27127.25	50.7986	98.9058	329.529
27127.29167	50.7986	98.9058	329.529
27127.33333	50.7986	98.9058	329.529
27127.375	50.7986	98.9058	329.529
27127.41667	50.7986	98.9058	329.529
27127.45833	50.7986	98.9058	329.529
27127.5	50.7986	98.9058	329.529
27127.54167	50.7986	98.9058	329.529
27127.58333	50.7986	98.9058	329.529
27127.625	50.7986	98.9058	329.529
27127.66667	50.7986	98.9058	329.529
27127.70833	50.7986	98.9058	329.529
27127.75	50.7986	98.9058	329.529
27127.79167	50.7986	98.9058	329.529
27127.83333	50.7986	98.9058	329.529
27127.875	50.7986	98.9058	329.529
27127.91667	50.7986	98.9058	329.529
27127.95833	50.7986	98.9058	329.529
27128	50.7986	98.9058	329.529
27128.04167	50.7986	98.9058	329.529
27128.08333	50.7986	98.9058	329.529
27128.125	50.7986	98.9058	329.529
27128.16667	50.7986	98.9058	329.529
27128.20833	50.7986	98.9058	329.529
27128.25	50.7986	98.9058	329.529
27128.29167	50.7986	98.9058	329.529
27128.33333	50.7986	98.9058	329.529
27128.375	50.7986	98.9058	329.529
27128.41667	50.7986	98.9058	329.529
27128.45833	50.7986	98.9058	329.529
27128.5	50.7986	98.9058	329.529
27128.54167	50.7986	98.9058	329.529
27128.58333	50.7816	98.8888	329.512
27128.625	50.7556	98.8629	329.487
27128.66667	50.7495	98.8567	329.48
27128.70833	50.7495	98.8567	329.48
27128.75	50.7495	98.8567	329.48
27128.79167	50.7495	98.8567	329.48
27128.83333	50.7495	98.8567	329.48
27128.875	50.7495	98.8567	329.48
27128.91667	50.7495	98.8567	329.48
27128.95833	50.7495	98.8567	329.48
27129	49.9801	98.8567	329.48
27129.04167	49.9801	98.8567	329.48
27129.08333	49.9801	98.8567	329.48
27129.125	49.9801	98.8567	329.48
27129.16667	49.9801	98.8567	329.48
27129.20833	49.9801	98.8567	329.48
27129.25	49.9801	98.8567	329.48
27129.29167	49.9801	98.8567	329.48
27129.33333	49.9801	98.8567	329.48
27129.375	49.9801	98.8567	329.48
27129.41667	49.9801	98.8567	329.48
27129.45833	49.9801	98.8567	329.48
27129.5	49.9801	98.8567	329.48
27129.54167	49.9801	98.8567	329.48
27129.58333	49.9801	98.8567	329.48
27129.625	49.9801	98.8567	329.48
27129.66667	49.9801	98.8567	329.48
27129.70833	49.9801	98.8567	329.48
27129.75	49.9801	98.8567	329.48
27129.79167	49.9801	98.8567	329.48
27129.83333	49.9801	98.8567	329.48
27129.875	49.9801	98.8567	329.48
27129.91667	49.9801	98.8567	329.48
27129.95833	49.9801	98.8567	329.48
27130	45.509	98.8567	329.48
27130.04167	45.5408	98.8886	329.512
27130.08333	45.5727	98.9205	329.544
