time	soil_moist(1)	SWE(1)
units	(mm)	(mm)
27347.33333	375	6.76049
27347.375	375	6.76049
27347.41667	375	6.76049
27347.45833	375	6.76049
27347.5	375	6.76049
27347.54167	375	6.76049
27347.58333	375	6.76049
27347.625	375	6.76049
27347.66667	375	6.76049
27347.70833	375	6.76049
27347.75	375	6.76049
27347.79167	375	6.76049
27347.83333	375	6.76049
27347.875	375	6.76049
27347.91667	375	6.76049
27347.95833	375	6.76049
27348	375	6.76049
27348.04167	375	6.76049
27348.08333	375	6.76049
27348.125	375	6.76049
27348.16667	375	6.76049
27348.20833	375	6.76049
27348.25	375	6.76049
27348.29167	375	6.76049
27348.33333	375	6.76049
27348.375	375	6.76049
27348.41667	375	6.76049
27348.45833	375	6.76049
27348.5	375	6.76049
27348.54167	375	6.76049
27348.58333	375	6.76049
27348.625	375	6.76049
27348.66667	375	6.76049
27348.70833	375	6.76049
27348.75	375	6.76049
27348.79167	375	6.76049
27348.83333	375	6.76049
27348.875	375	6.76049
27348.91667	375	6.76049
27348.95833	375	6.76049
27349	375	6.76049
27349.04167	375	6.76049
27349.08333	375	6.76049
27349.125	375	6.76049
27349.16667	375	6.76049
27349.20833	375	6.76049
27349.25	375	6.76049
27349.29167	375	6.76049
27349.33333	375	6.76049
27349.375	375	6.76049
27349.41667	375	6.76049
27349.45833	375	6.76049
27349.5	375	6.76049
27349.54167	375	6.76049
27349.58333	375	6.76049
27349.625	375	6.76049
27349.66667	375	6.76049
27349.70833	375	6.76049
27349.75	375	6.76049
27349.79167	375	6.76049
27349.83333	375	6.76049
27349.875	375	6.76049
27349.91667	375	6.76049
27349.95833	375	6.76049
27350	375	6.76049
27350.04167	375	6.76049
27350.08333	375	6.76049
27350.125	375	6.76049
27350.16667	375	6.76049
27350.20833	375	6.76049
27350.25	375	6.76049
27350.29167	375	6.76049
27350.33333	375	6.76049
27350.375	375	6.76049
27350.41667	375	6.76049
27350.45833	375	6.76049
27350.5	375	6.76049
27350.54167	375	6.76049
27350.58333	375	6.76049
27350.625	375	6.76049
27350.66667	375	6.76049
27350.70833	375	6.76049
27350.75	375	6.76049
27350.79167	375	6.76049
27350.83333	375	6.76049
27350.875	375	6.76049
27350.91667	375	6.76049
27350.95833	375	6.76049
27351	375	6.76049
27351.04167	375	6.76049
27351.08333	375	6.76049
27351.125	375	6.76049
27351.16667	375	6.76049
27351.20833	375	6.76049
27351.25	375	6.76049
27351.29167	375	6.76049
27351.33333	375	6.76049
27351.375	375	6.76049
27351.41667	375	6.76049
27351.45833	375	6.76049
27351.5	375	6.76049
27351.54167	375	6.76049
27351.58333	375	6.76049
27351.625	375	6.76049
27351.66667	375	6.76049
27351.70833	375	6.76049
27351.75	375	6.76049
